,ID Iklan,Merk,Model,Tahun,Jenis,Pintu,Kapasitas,Transmisi,BBM,Tipe Penjual,Boleh Nego,Test Drive,Loc,Price,Kilometer,CC Mesin,Airbags,Tenaga mesin,Jumlah Gigi
12284,99568,Mitsubishi,Pajero Sport,2017,SUV,4,7 penumpang,Matic,Diesel,Owner,Yes,Yes,Sleman,468.000.000,20,25,4,25 HP,2
12285,99567,Honda,CR-V,2013,SUV,4,5 penumpang,Manual,Bensin,Owner,Yes,Yes,Sleman,255.000.000,60,20,3,20 HP,5
12286,99566,Toyota,Agya,2014,Minibus,4,5 penumpang,Manual,Bensin,Owner,Yes,Yes,Sidoarjo,133.000.000,56000,998,,,5
12287,99565,Honda,CR-V,2013,SUV,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,245.000.000,60,20,3,20 HP,2
12288,99564,Honda,CR-V,2014,SUV,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,263.000.000,40,24,4,24 HP,2
12289,99563,Honda,BRV,2016,MPV,4,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,189.000.000,50,15,3,15 HP,2
12290,99562,Honda,Freed,2013,MPV,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,161.000.000,,1500,,,
12291,99561,Honda,CR-V,2011,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,160.000.000,,2000,,,
12292,99560,Nissan,X-Trail,2014,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,187.000.000,68000,2500,,,
12293,99559,Nissan,Serena,2011,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,109.500.000,102000,2000,,,
12294,99558,Mitsubishi,Xpander,2017,Minibus,4,,Matic,Bensin,Owner,Yes,No,Jakarta Timur,220.000.000,10,1500,2,,5
12295,99557,Daihatsu,,1990,Truck,2,2 penumpang,Manual,Diesel,Owner,No,No,Depok,24.000.000,,,,,
12296,99556,Daihatsu,Sigra,2016,MPV,5,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Sidoarjo,115.000.000,50900,1200,2,,4
12297,99555,Hyundai,Avega,2010,Sedan,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Timur,57.000.000,,1500,,,
12298,99554,Mitsubishi,Pajero Sport,2014,SUV,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,250.000.000,49000,3000,,,
12299,99553,Jaguar,X-Type,2011,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,420.000.000,19000,3000,,,
12300,99552,Mercedes-Benz,C 200,2013,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,265.000.000,43000,2000,,,
12301,99551,Mercedes-Benz,C 200,2014,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,365.000.000,20000,2000,,,
